title,date_published,genre,director,actors,avg_vote,comb
mallrats,1995-10-20,"Comedy, Romance",Kevin Smith,"Shannen Doherty, Jeremy London, Jason Lee, Claire Forlani, Ben Affleck, Joey Lauren Adams, Renée Humphrey, Jason Mewes, Ethan Suplee, Stan Lee, Priscilla Barnes, Michael Rooker, Carol Banker, Steven Blackwell, Kyle Boe",7.1,Shannen Doherty  Jeremy London  Jason Lee  Claire Forlani  Ben Affleck  Joey Lauren Adams  Renée Humphrey  Jason Mewes  Ethan Suplee  Stan Lee  Priscilla Barnes  Michael Rooker  Carol Banker  Steven Blackwell  Kyle Boe Kevin Smith Comedy  Romance
mighty aphrodite,1996-04-26,"Comedy, Fantasy, Romance",Woody Allen,"Pamela Blair, Rene Ceballos, Elie Chaib, George De La Pena, Joanne DiMauro, Denise Faye, Marian Filali, Angelo Fraboni, Scott Fowler, Seth Gertsacov, Patti Karr, Fred Mann III, John Mineo, Christopher Nelson, Valda Setterfield",7.0,Pamela Blair  Rene Ceballos  Elie Chaib  George De La Pena  Joanne DiMauro  Denise Faye  Marian Filali  Angelo Fraboni  Scott Fowler  Seth Gertsacov  Patti Karr  Fred Mann III  John Mineo  Christopher Nelson  Valda Setterfield Woody Allen Comedy  Fantasy  Romance
mighty morphin power rangers: the movie,1995-07-21,"Action, Adventure, Family",Bryan Spicer,"Karan Ashley, Johnny Yong Bosch, Steve Cardenas, Jason David Frank, Amy Jo Johnson, David Yost, Paul Schrier, Jason Narvy, Paul Freeman, Gabrielle Fitzpatrick, Nicholas Bell, Peta-Marie Rixon, Jean Paul Bell, Kerry Casey, Mark Ginther",5.2,Karan Ashley  Johnny Yong Bosch  Steve Cardenas  Jason David Frank  Amy Jo Johnson  David Yost  Paul Schrier  Jason Narvy  Paul Freeman  Gabrielle Fitzpatrick  Nicholas Bell  Peta-Marie Rixon  Jean Paul Bell  Kerry Casey  Mark Ginther Bryan Spicer Action  Adventure  Family
mortal kombat,1995-12-15,"Action, Adventure, Fantasy",Paul W.S. Anderson,"Christopher Lambert, Robin Shou, Linden Ashby, Cary-Hiroyuki Tagawa, Bridgette Wilson-Sampras, Talisa Soto, Trevor Goddard, Chris Casamassa, François Petit, Keith Cooke, Hakim Alston, Kenneth Edwards, John Fujioka, Daniel Haggard, Sandy Helberg",5.8,Christopher Lambert  Robin Shou  Linden Ashby  Cary-Hiroyuki Tagawa  Bridgette Wilson-Sampras  Talisa Soto  Trevor Goddard  Chris Casamassa  François Petit  Keith Cooke  Hakim Alston  Kenneth Edwards  John Fujioka  Daniel Haggard  Sandy Helberg Paul W.S. Anderson Action  Adventure  Fantasy
mr. holland's opus,1996-05-17,"Drama, Music",Stephen Herek,"Richard Dreyfuss, Glenne Headly, Jay Thomas, Olympia Dukakis, William H. Macy, Alicia Witt, Terrence Howard, Damon Whitaker, Jean Louisa Kelly, Alexandra Boyd, Nicholas John Renner, Joseph Anderson, Anthony Natale, Joanna Gleason, Beth Maitland",7.3,Richard Dreyfuss  Glenne Headly  Jay Thomas  Olympia Dukakis  William H. Macy  Alicia Witt  Terrence Howard  Damon Whitaker  Jean Louisa Kelly  Alexandra Boyd  Nicholas John Renner  Joseph Anderson  Anthony Natale  Joanna Gleason  Beth Maitland Stephen Herek Drama  Music
the net,1995-10-06,"Action, Crime, Drama",Irwin Winkler,"Sandra Bullock, Jeremy Northam, Dennis Miller, Diane Baker, Wendy Gazelle, Ken Howard, Ray McKinnon, Daniel Schorr, L. Scott Caldwell, Robert Gossett, Kristina Krofft, Juan Garcia, Tony Perez, Margo Winkler, Gene Kirkwood",5.9,Sandra Bullock  Jeremy Northam  Dennis Miller  Diane Baker  Wendy Gazelle  Ken Howard  Ray McKinnon  Daniel Schorr  L. Scott Caldwell  Robert Gossett  Kristina Krofft  Juan Garcia  Tony Perez  Margo Winkler  Gene Kirkwood Irwin Winkler Action  Crime  Drama
nixon,1996-03-15,"Biography, Drama, History",Oliver Stone,"Anthony Hopkins, Joan Allen, Powers Boothe, Ed Harris, Bob Hoskins, E.G. Marshall, David Paymer, David Hyde Pierce, Paul Sorvino, Mary Steenburgen, J.T. Walsh, James Woods, Brian Bedford, Kevin Dunn, Fyvush Finkel",7.1,Anthony Hopkins  Joan Allen  Powers Boothe  Ed Harris  Bob Hoskins  E.G. Marshall  David Paymer  David Hyde Pierce  Paul Sorvino  Mary Steenburgen  J.T. Walsh  James Woods  Brian Bedford  Kevin Dunn  Fyvush Finkel Oliver Stone Biography  Drama  History
outbreak,1995-04-21,"Action, Drama, Thriller",Wolfgang Petersen,"Dustin Hoffman, Rene Russo, Morgan Freeman, Kevin Spacey, Cuba Gooding Jr., Donald Sutherland, Patrick Dempsey, Zakes Mokae, Malick Bowens, Susan Lee Hoffman, Benito Martinez, Bruce Jarchow, Leland Hayward III, Daniel Chodos, Dale Dye",6.6,Dustin Hoffman  Rene Russo  Morgan Freeman  Kevin Spacey  Cuba Gooding Jr.  Donald Sutherland  Patrick Dempsey  Zakes Mokae  Malick Bowens  Susan Lee Hoffman  Benito Martinez  Bruce Jarchow  Leland Hayward III  Daniel Chodos  Dale Dye Wolfgang Petersen Action  Drama  Thriller
party girl,1995-06-09,Comedy,Daisy von Scherler Mayer,"Parker Posey, Anthony DeSando, Guillermo Díaz, Donna Mitchell, Liev Schreiber, Omar Townsend, Sasha von Scherler, Lum Chang Pang, Elizabeth Beer, Richard Topol, C. Francis Blackchild, John Ventimiglia, Dwight Ewell, Teresa Lebron, Wendell Daughtery",6.6,Parker Posey  Anthony DeSando  Guillermo Díaz  Donna Mitchell  Liev Schreiber  Omar Townsend  Sasha von Scherler  Lum Chang Pang  Elizabeth Beer  Richard Topol  C. Francis Blackchild  John Ventimiglia  Dwight Ewell  Teresa Lebron  Wendell Daughtery Daisy von Scherler Mayer Comedy
pocahontas,1995-10-13,"Animation, Adventure, Drama","Mike Gabriel, Eric Goldberg","Joe Baker, Christian Bale, Irene Bedard, Billy Connolly, James Apaumut Fall, Mel Gibson, Linda Hunt, John Kassir, Judy Kuhn, Danny Mann, Russell Means, David Ogden Stiers, Michelle St. John, Gordon Tootoosis, Frank Welker",6.7,Joe Baker  Christian Bale  Irene Bedard  Billy Connolly  James Apaumut Fall  Mel Gibson  Linda Hunt  John Kassir  Judy Kuhn  Danny Mann  Russell Means  David Ogden Stiers  Michelle St. John  Gordon Tootoosis  Frank Welker Mike Gabriel  Eric Goldberg Animation  Adventure  Drama
the quick and the dead,1995-02-10,"Action, Romance, Thriller",Sam Raimi,"Sharon Stone, Gene Hackman, Russell Crowe, Leonardo DiCaprio, Tobin Bell, Roberts Blossom, Kevin Conway, Keith David, Lance Henriksen, Pat Hingle, Gary Sinise, Mark Boone Junior, Olivia Burnette, Fay Masterson, Raynor Scheine",6.4,Sharon Stone  Gene Hackman  Russell Crowe  Leonardo DiCaprio  Tobin Bell  Roberts Blossom  Kevin Conway  Keith David  Lance Henriksen  Pat Hingle  Gary Sinise  Mark Boone Junior  Olivia Burnette  Fay Masterson  Raynor Scheine Sam Raimi Action  Romance  Thriller
restoration,1996-02-02,"Biography, Drama, History",Michael Hoffman,"Robert Downey Jr., Sam Neill, David Thewlis, Polly Walker, Meg Ryan, Ian McKellen, Hugh Grant, Ian McDiarmid, Mary MacLeod, Mark Letheren, Sandy McDade, Rosalind Bennett, Willie Ross, David Gant, Benjamin Whitrow",6.6,Robert Downey Jr.  Sam Neill  David Thewlis  Polly Walker  Meg Ryan  Ian McKellen  Hugh Grant  Ian McDiarmid  Mary MacLeod  Mark Letheren  Sandy McDade  Rosalind Bennett  Willie Ross  David Gant  Benjamin Whitrow Michael Hoffman Biography  Drama  History
rob roy,1995-05-26,"Adventure, Biography, Drama",Michael Caton-Jones,"Liam Neeson, Jessica Lange, John Hurt, Tim Roth, Eric Stoltz, Andrew Keir, Brian Cox, Brian McCardie, Gilbert Martin, Vicki Masson, Gilly Gilchrist, Jason Flemyng, Ewan Stewart, David Hayman, Brian McArthur",6.9,Liam Neeson  Jessica Lange  John Hurt  Tim Roth  Eric Stoltz  Andrew Keir  Brian Cox  Brian McCardie  Gilbert Martin  Vicki Masson  Gilly Gilchrist  Jason Flemyng  Ewan Stewart  David Hayman  Brian McArthur Michael Caton-Jones Adventure  Biography  Drama
sabrina,1996-01-26,"Comedy, Drama, Romance",Sydney Pollack,"Harrison Ford, Julia Ormond, Greg Kinnear, Nancy Marchand, John Wood, Richard Crenna, Angie Dickinson, Lauren Holly, Dana Ivey, Miriam Colon, Elizabeth Franz, Fanny Ardant, Valérie Lemercier, Patrick Bruel, Becky Ann Baker",6.3,Harrison Ford  Julia Ormond  Greg Kinnear  Nancy Marchand  John Wood  Richard Crenna  Angie Dickinson  Lauren Holly  Dana Ivey  Miriam Colon  Elizabeth Franz  Fanny Ardant  Valérie Lemercier  Patrick Bruel  Becky Ann Baker Sydney Pollack Comedy  Drama  Romance
safe,1995-06-30,Drama,Todd Haynes,"Julianne Moore, Xander Berkeley, Dean Norris, Julie Burgess, Ronnie Farer, Jodie Markell, Susan Norman, Martha Velez, Chauncey Leopardi, Saachiko, Tim Gardner, Wendy Haynes, Allan Wasserman, Jean St. James, Steven Gilborn",7.2,Julianne Moore  Xander Berkeley  Dean Norris  Julie Burgess  Ronnie Farer  Jodie Markell  Susan Norman  Martha Velez  Chauncey Leopardi  Saachiko  Tim Gardner  Wendy Haynes  Allan Wasserman  Jean St. James  Steven Gilborn Todd Haynes Drama
se7en,1996-01-05,"Crime, Drama, Mystery",David Fincher,"Morgan Freeman, Andrew Kevin Walker, Daniel Zacapa, Brad Pitt, Gwyneth Paltrow, John Cassini, Bob Mack, Peter Crombie, Reg E. Cathey, R. Lee Ermey, George Christy, Endre Hules, Hawthorne James, William Davidson, Bob Collins",8.6,Morgan Freeman  Andrew Kevin Walker  Daniel Zacapa  Brad Pitt  Gwyneth Paltrow  John Cassini  Bob Mack  Peter Crombie  Reg E. Cathey  R. Lee Ermey  George Christy  Endre Hules  Hawthorne James  William Davidson  Bob Collins David Fincher Crime  Drama  Mystery
sense and sensibility,1996-03-08,"Drama, Romance",Ang Lee,"James Fleet, Tom Wilkinson, Harriet Walter, Kate Winslet, Emma Thompson, Gemma Jones, Hugh Grant, Emilie François, Elizabeth Spriggs, Robert Hardy, Ian Brimble, Isabelle Amyes, Alan Rickman, Greg Wise, Alexander John",7.6,James Fleet  Tom Wilkinson  Harriet Walter  Kate Winslet  Emma Thompson  Gemma Jones  Hugh Grant  Emilie François  Elizabeth Spriggs  Robert Hardy  Ian Brimble  Isabelle Amyes  Alan Rickman  Greg Wise  Alexander John Ang Lee Drama  Romance
showgirls,1995-09-22,Drama,Paul Verhoeven,"Elizabeth Berkley, Kyle MacLachlan, Gina Gershon, Glenn Plummer, Robert Davi, Alan Rachins, Gina Ravera, Lin Tucci, Greg Travis, Al Ruscio, Patrick Bristow, William Shockley, Bobbie Phillips, Dewey Weber, Rena Riffel",4.8,Elizabeth Berkley  Kyle MacLachlan  Gina Gershon  Glenn Plummer  Robert Davi  Alan Rachins  Gina Ravera  Lin Tucci  Greg Travis  Al Ruscio  Patrick Bristow  William Shockley  Bobbie Phillips  Dewey Weber  Rena Riffel Paul Verhoeven Drama
smoke,1996-04-19,"Comedy, Drama",Wayne Wang,"Giancarlo Esposito, José Zúñiga, Stephen Gevedon, Harvey Keitel, Jared Harris, William Hurt, Daniel Auster, Harold Perrineau, Deirdre O'Connell, Victor Argo, Michelle Hurst, Forest Whitaker, Stockard Channing, Vincenzo Amelia, Erica Gimpel",7.4,Giancarlo Esposito  José Zúñiga  Stephen Gevedon  Harvey Keitel  Jared Harris  William Hurt  Daniel Auster  Harold Perrineau  Deirdre O'Connell  Victor Argo  Michelle Hurst  Forest Whitaker  Stockard Channing  Vincenzo Amelia  Erica Gimpel Wayne Wang Comedy  Drama
species,1995-10-13,"Action, Horror, Sci-Fi",Roger Donaldson,"Ben Kingsley, Michael Madsen, Alfred Molina, Forest Whitaker, Marg Helgenberger, Natasha Henstridge, Michelle Williams, Jordan Lund, Don Fischer, Scott McKenna, Virginia Morris, Jayne Luke, David K. Schroeder, David Jensen, Esther Scott",5.8,Ben Kingsley  Michael Madsen  Alfred Molina  Forest Whitaker  Marg Helgenberger  Natasha Henstridge  Michelle Williams  Jordan Lund  Don Fischer  Scott McKenna  Virginia Morris  Jayne Luke  David K. Schroeder  David Jensen  Esther Scott Roger Donaldson Action  Horror  Sci-Fi
strange days,1995-10-13,"Action, Crime, Drama",Kathryn Bigelow,"Ralph Fiennes, Angela Bassett, Juliette Lewis, Tom Sizemore, Michael Wincott, Vincent D'Onofrio, Glenn Plummer, Brigitte Bako, Richard Edson, William Fichtner, Josef Sommer, Joe Urla, Nicky Katt, Michael Jace, Louise LeCavalier",7.2,Ralph Fiennes  Angela Bassett  Juliette Lewis  Tom Sizemore  Michael Wincott  Vincent D'Onofrio  Glenn Plummer  Brigitte Bako  Richard Edson  William Fichtner  Josef Sommer  Joe Urla  Nicky Katt  Michael Jace  Louise LeCavalier Kathryn Bigelow Action  Crime  Drama
swimming with sharks,1995-04-21,"Comedy, Crime",George Huang,"Kevin Spacey, Frank Whaley, Michelle Forbes, Benicio Del Toro, T.E. Russell, Roy Dotrice, Matthew Flint, Patrick Fischler, Jerry Levine",7.1,Kevin Spacey  Frank Whaley  Michelle Forbes  Benicio Del Toro  T.E. Russell  Roy Dotrice  Matthew Flint  Patrick Fischler  Jerry Levine George Huang Comedy  Crime
tales from the crypt: demon knight,1995-01-13,"Action, Fantasy, Horror",Ernest R. Dickerson,"John Kassir, Billy Zane, William Sadler, Jada Pinkett Smith, Brenda Bakke, CCH Pounder, Dick Miller, Thomas Haden Church, John Schuck, Gary Farmer, Charles Fleischer, Tim DeZarn, Sherrie Rose, Ryan O'Donohue, Tony Salome",6.7,John Kassir  Billy Zane  William Sadler  Jada Pinkett Smith  Brenda Bakke  CCH Pounder  Dick Miller  Thomas Haden Church  John Schuck  Gary Farmer  Charles Fleischer  Tim DeZarn  Sherrie Rose  Ryan O'Donohue  Tony Salome Ernest R. Dickerson Action  Fantasy  Horror
tank girl,1995-03-31,"Action, Comedy, Sci-Fi",Rachel Talalay,"Lori Petty, Ice-T, Naomi Watts, Don Harvey, Jeff Kober, Reg E. Cathey, Scott Coffey, Malcolm McDowell, Stacy Linn Ramsower, Ann Cusack, Brian Wimmer, Iggy Pop, Dawn Robinson, Billy L. Sullivan, James Hong",5.3,Lori Petty  Ice-T  Naomi Watts  Don Harvey  Jeff Kober  Reg E. Cathey  Scott Coffey  Malcolm McDowell  Stacy Linn Ramsower  Ann Cusack  Brian Wimmer  Iggy Pop  Dawn Robinson  Billy L. Sullivan  James Hong Rachel Talalay Action  Comedy  Sci-Fi
things to do in denver when you're dead,1996-05-10,"Crime, Drama",Gary Fleder,"Andy Garcia, Christopher Lloyd, William Forsythe, Bill Nunn, Treat Williams, Jack Warden, Steve Buscemi, Fairuza Balk, Gabrielle Anwar, Christopher Walken, Michael Nicolosi, Bill Cobbs, Marshall Bell, Glenn Plummer, Don Stark",6.8,Andy Garcia  Christopher Lloyd  William Forsythe  Bill Nunn  Treat Williams  Jack Warden  Steve Buscemi  Fairuza Balk  Gabrielle Anwar  Christopher Walken  Michael Nicolosi  Bill Cobbs  Marshall Bell  Glenn Plummer  Don Stark Gary Fleder Crime  Drama
to die for,1995-10-27,"Comedy, Crime, Drama",Gus Van Sant,"Nicole Kidman, Matt Dillon, Joaquin Phoenix, Casey Affleck, Illeana Douglas, Alison Folland, Dan Hedaya, Wayne Knight, Kurtwood Smith, Holland Taylor, Susan Traylor, Maria Tucci, Tim Hopper, Michael Rispoli, Buck Henry",6.8,Nicole Kidman  Matt Dillon  Joaquin Phoenix  Casey Affleck  Illeana Douglas  Alison Folland  Dan Hedaya  Wayne Knight  Kurtwood Smith  Holland Taylor  Susan Traylor  Maria Tucci  Tim Hopper  Michael Rispoli  Buck Henry Gus Van Sant Comedy  Crime  Drama
total eclipse,1997-02-12,"Biography, Drama, Romance",Agnieszka Holland,"Leonardo DiCaprio, David Thewlis, Romane Bohringer, Dominique Blanc, Félicie Pasotti, Nita Klein, James Thierrée, Emmanuelle Oppo, Denise Chalem, Andrzej Seweryn, Christopher Thompson, Bruce Van Barthold, Christopher Chaplin, Christopher Hampton, Mathias Jung",6.6,Leonardo DiCaprio  David Thewlis  Romane Bohringer  Dominique Blanc  Félicie Pasotti  Nita Klein  James Thierrée  Emmanuelle Oppo  Denise Chalem  Andrzej Seweryn  Christopher Thompson  Bruce Van Barthold  Christopher Chaplin  Christopher Hampton  Mathias Jung Agnieszka Holland Biography  Drama  Romance
toy story,1996-03-22,"Animation, Adventure, Comedy",John Lasseter,"Tom Hanks, Tim Allen, Don Rickles, Jim Varney, Wallace Shawn, John Ratzenberger, Annie Potts, John Morris, Erik von Detten, Laurie Metcalf, R. Lee Ermey, Sarah Freeman, Penn Jillette, Jack Angel, Spencer Aste",8.3,Tom Hanks  Tim Allen  Don Rickles  Jim Varney  Wallace Shawn  John Ratzenberger  Annie Potts  John Morris  Erik von Detten  Laurie Metcalf  R. Lee Ermey  Sarah Freeman  Penn Jillette  Jack Angel  Spencer Aste John Lasseter Animation  Adventure  Comedy
twelve monkeys,1996-04-19,"Mystery, Sci-Fi, Thriller",Terry Gilliam,"Joseph Melito, Bruce Willis, Jon Seda, Michael Chance, Vernon Campbell, H. Michael Walls, Bob Adrian, Simon Jones, Carol Florence, Bill Raymond, Ernest Abuba, Irma St. Paule, Madeleine Stowe, Joey Perillo, Bruce Kirkpatrick",8.0,Joseph Melito  Bruce Willis  Jon Seda  Michael Chance  Vernon Campbell  H. Michael Walls  Bob Adrian  Simon Jones  Carol Florence  Bill Raymond  Ernest Abuba  Irma St. Paule  Madeleine Stowe  Joey Perillo  Bruce Kirkpatrick Terry Gilliam Mystery  Sci-Fi  Thriller
under siege 2: dark territory,1995-10-27,"Action, Thriller",Geoff Murphy,"Steven Seagal, Eric Bogosian, Everett McGill, Katherine Heigl, Morris Chestnut, Peter Greene, Patrick Kilpatrick, Scott Sowers, Afifi Alaouie, Andy Romano, Brenda Bakke, Sandra Taylor, Jonathan Banks, David Gianopoulos, Royce D. Applegate",5.5,Steven Seagal  Eric Bogosian  Everett McGill  Katherine Heigl  Morris Chestnut  Peter Greene  Patrick Kilpatrick  Scott Sowers  Afifi Alaouie  Andy Romano  Brenda Bakke  Sandra Taylor  Jonathan Banks  David Gianopoulos  Royce D. Applegate Geoff Murphy Action  Thriller
underneath,1995-04-28,"Crime, Thriller",Steven Soderbergh,"Peter Gallagher, Alison Elliott, William Fichtner, Adam Trese, Joe Don Baker, Paul Dooley, Shelley Duvall, Elisabeth Shue, Anjanette Comer, Dennis Hill, Harry Goaz, Mark Feltch, Jules Sharp, Kenneth D. Harris, Vincent Gaskins",6.1,Peter Gallagher  Alison Elliott  William Fichtner  Adam Trese  Joe Don Baker  Paul Dooley  Shelley Duvall  Elisabeth Shue  Anjanette Comer  Dennis Hill  Harry Goaz  Mark Feltch  Jules Sharp  Kenneth D. Harris  Vincent Gaskins Steven Soderbergh Crime  Thriller
the usual suspects,1995-12-15,"Crime, Mystery, Thriller",Bryan Singer,"Stephen Baldwin, Gabriel Byrne, Benicio Del Toro, Kevin Pollak, Kevin Spacey, Chazz Palminteri, Pete Postlethwaite, Suzy Amis, Giancarlo Esposito, Dan Hedaya, Paul Bartel, Carl Bressler, Phillipe Simon, Jack Shearer, Christine Estabrook",8.5,Stephen Baldwin  Gabriel Byrne  Benicio Del Toro  Kevin Pollak  Kevin Spacey  Chazz Palminteri  Pete Postlethwaite  Suzy Amis  Giancarlo Esposito  Dan Hedaya  Paul Bartel  Carl Bressler  Phillipe Simon  Jack Shearer  Christine Estabrook Bryan Singer Crime  Mystery  Thriller
vampire in brooklyn,1996-06-07,"Comedy, Fantasy, Horror",Wes Craven,"Eddie Murphy, Angela Bassett, Allen Payne, Kadeem Hardison, John Witherspoon, Zakes Mokae, Joanna Cassidy, Simbi Kali, Messiri Freeman, Kelly Cinnante, Jsu Garcia, W. Earl Brown, Ayo Adeyemi, Troy Curvey Jr., Vickilyn Reynolds",4.6,Eddie Murphy  Angela Bassett  Allen Payne  Kadeem Hardison  John Witherspoon  Zakes Mokae  Joanna Cassidy  Simbi Kali  Messiri Freeman  Kelly Cinnante  Jsu Garcia  W. Earl Brown  Ayo Adeyemi  Troy Curvey Jr.  Vickilyn Reynolds Wes Craven Comedy  Fantasy  Horror
village of the damned,1995-04-28,"Horror, Sci-Fi, Thriller",John Carpenter,"Christopher Reeve, Kirstie Alley, Linda Kozlowski, Michael Paré, Meredith Salenger, Mark Hamill, Pippa Pearthree, Peter Jason, Constance Forslund, Karen Kahn, Thomas Dekker, Lindsey Haun, Cody Dorkin, Trishalee Hardy, Jessye Quarry",5.6,Christopher Reeve  Kirstie Alley  Linda Kozlowski  Michael Paré  Meredith Salenger  Mark Hamill  Pippa Pearthree  Peter Jason  Constance Forslund  Karen Kahn  Thomas Dekker  Lindsey Haun  Cody Dorkin  Trishalee Hardy  Jessye Quarry John Carpenter Horror  Sci-Fi  Thriller
virtuosity,1995-08-04,"Action, Crime, Sci-Fi",Brett Leonard,"Denzel Washington, Kelly Lynch, Russell Crowe, Stephen Spinella, William Forsythe, Louise Fletcher, William Fichtner, Costas Mandylor, Kevin J. O'Connor, Kaley Cuoco, Christopher Murray, Heidi Schanz, Traci Lords, Gordon Jennison Noice, Mari Morrow",5.6,Denzel Washington  Kelly Lynch  Russell Crowe  Stephen Spinella  William Forsythe  Louise Fletcher  William Fichtner  Costas Mandylor  Kevin J. O'Connor  Kaley Cuoco  Christopher Murray  Heidi Schanz  Traci Lords  Gordon Jennison Noice  Mari Morrow Brett Leonard Action  Crime  Sci-Fi
a walk in the clouds,1995-11-17,"Drama, Romance",Alfonso Arau,"Keanu Reeves, Aitana Sánchez-Gijón, Anthony Quinn, Giancarlo Giannini, Angélica Aragón, Evangelina Elizondo, Freddy Rodríguez, Debra Messing, Febronio Covarrubias, Roberto Huerta, Juan Jiménez, Ismael Gallegos, Alejandra Flores, Gema Sandoval, Don Amendolia",6.7,Keanu Reeves  Aitana Sánchez-Gijón  Anthony Quinn  Giancarlo Giannini  Angélica Aragón  Evangelina Elizondo  Freddy Rodríguez  Debra Messing  Febronio Covarrubias  Roberto Huerta  Juan Jiménez  Ismael Gallegos  Alejandra Flores  Gema Sandoval  Don Amendolia Alfonso Arau Drama  Romance
waterworld,1995-08-11,"Action, Adventure, Sci-Fi",Kevin Reynolds,"Kevin Costner, Chaim Jeraffi, Rick Aviles, R.D. Call, Zitto Kazann, Leonardo Cimino, Zakes Mokae, Luke Ka'ili Jr., Anthony DeMasters, Willy Petrovic, Jack Kehler, Jeanne Tripplehorn, Lanny Flaherty, Robert A. Silverman, Gerard Murphy",6.2,Kevin Costner  Chaim Jeraffi  Rick Aviles  R.D. Call  Zitto Kazann  Leonardo Cimino  Zakes Mokae  Luke Ka'ili Jr.  Anthony DeMasters  Willy Petrovic  Jack Kehler  Jeanne Tripplehorn  Lanny Flaherty  Robert A. Silverman  Gerard Murphy Kevin Reynolds Action  Adventure  Sci-Fi
welcome to the dollhouse,1996-05-24,"Comedy, Drama",Todd Solondz,"Heather Matarazzo, Victoria Davis, Christina Brucato, Christina Vidal, Siri Howard, Brendan Sexton III, Telly Pontidis, Herbie Duarte, Scott Coogan, Daria Kalinina, Matthew Faber, Josiah Trager, Ken Leung, Dimitri DeFresco, Rica Martens",7.4,Heather Matarazzo  Victoria Davis  Christina Brucato  Christina Vidal  Siri Howard  Brendan Sexton III  Telly Pontidis  Herbie Duarte  Scott Coogan  Daria Kalinina  Matthew Faber  Josiah Trager  Ken Leung  Dimitri DeFresco  Rica Martens Todd Solondz Comedy  Drama
while you were sleeping,1995-04-21,"Comedy, Drama, Romance",Jon Turteltaub,"Sandra Bullock, Bill Pullman, Peter Gallagher, Peter Boyle, Jack Warden, Glynis Johns, Micole Mercurio, Jason Bernard, Michael Rispoli, Ally Walker, Monica Keena, Ruth Rudnick, Marcia Wright, Dick Cusack, Thomas Q. Morris",6.7,Sandra Bullock  Bill Pullman  Peter Gallagher  Peter Boyle  Jack Warden  Glynis Johns  Micole Mercurio  Jason Bernard  Michael Rispoli  Ally Walker  Monica Keena  Ruth Rudnick  Marcia Wright  Dick Cusack  Thomas Q. Morris Jon Turteltaub Comedy  Drama  Romance
101 dalmatians,1996-12-13,"Adventure, Comedy, Crime",Stephen Herek,"Glenn Close, Jeff Daniels, Joely Richardson, Joan Plowright, Hugh Laurie, Mark Williams, John Shrapnel, Tim McInnerny, Hugh Fraser, Zohren Weiss, Mark Haddigan, Michael Percival, Neville Phillips, John Evans, Hilda Braid",5.7,Glenn Close  Jeff Daniels  Joely Richardson  Joan Plowright  Hugh Laurie  Mark Williams  John Shrapnel  Tim McInnerny  Hugh Fraser  Zohren Weiss  Mark Haddigan  Michael Percival  Neville Phillips  John Evans  Hilda Braid Stephen Herek Adventure  Comedy  Crime
albino alligator,1997-01-17,"Crime, Drama, Thriller",Kevin Spacey,"Matt Dillon, Faye Dunaway, Gary Sinise, William Fichtner, Viggo Mortensen, John Spencer, Skeet Ulrich, Frankie Faison, Melinda McGraw, M. Emmet Walsh, Joe Mantegna, Doug Spinuzza, Spencer Garrett, Enrico Colantoni, Tulsy Ball",6.1,Matt Dillon  Faye Dunaway  Gary Sinise  William Fichtner  Viggo Mortensen  John Spencer  Skeet Ulrich  Frankie Faison  Melinda McGraw  M. Emmet Walsh  Joe Mantegna  Doug Spinuzza  Spencer Garrett  Enrico Colantoni  Tulsy Ball Kevin Spacey Crime  Drama  Thriller
the arrival,1996-05-31,"Sci-Fi, Thriller",David Twohy,"Charlie Sheen, Lindsay Crouse, Richard Schiff, Shane, Ron Silver, Teri Polo, Phyllis Applegate, Alan Coates, Leon Rippy, Buddy Joe Hooker, Javier Morga, Tony T. Johnson, Catalina Botello, Georg Lillitsch, David Villalpando",6.3,Charlie Sheen  Lindsay Crouse  Richard Schiff  Shane  Ron Silver  Teri Polo  Phyllis Applegate  Alan Coates  Leon Rippy  Buddy Joe Hooker  Javier Morga  Tony T. Johnson  Catalina Botello  Georg Lillitsch  David Villalpando David Twohy Sci-Fi  Thriller
basquiat,1996-08-09,"Biography, Drama",Julian Schnabel,"Jeffrey Wright, Michael Wincott, Benicio Del Toro, Claire Forlani, David Bowie, Dennis Hopper, Gary Oldman, Christopher Walken, Willem Dafoe, Jean-Claude La Marre, Parker Posey, Elina Löwensohn, Paul Bartel, Courtney Love, Tatum O'Neal",6.9,Jeffrey Wright  Michael Wincott  Benicio Del Toro  Claire Forlani  David Bowie  Dennis Hopper  Gary Oldman  Christopher Walken  Willem Dafoe  Jean-Claude La Marre  Parker Posey  Elina Löwensohn  Paul Bartel  Courtney Love  Tatum O'Neal Julian Schnabel Biography  Drama
beavis and butt-head do america,1997-05-23,"Animation, Adventure, Comedy","Mike Judge, Mike de Seve","Mike Judge, Bruce Willis, Demi Moore, Cloris Leachman, Robert Stack, Jacqueline Barba, Pamela Blair, Eric Bogosian, Kristofor Brown, Tony Darling, John Doman, Francis Dumaurier, Jim Flaherty, Tim Guinee, David Letterman",6.8,Mike Judge  Bruce Willis  Demi Moore  Cloris Leachman  Robert Stack  Jacqueline Barba  Pamela Blair  Eric Bogosian  Kristofor Brown  Tony Darling  John Doman  Francis Dumaurier  Jim Flaherty  Tim Guinee  David Letterman Mike Judge  Mike de Seve Animation  Adventure  Comedy
