title,date_published,genre,director,actors,avg_vote,comb
wild tigers i have known,2007-05-25,Drama,Cam Archer,"Malcolm Stumpf, Patrick White, Max Paradise, Fairuza Balk, Kim Dickens, Tom Gilroy, Ruth Elliott, Joey Coffman, Tim Greer, Dash Mann, Derek Mitchler, Kylee Mains, Teresa Morales, James Porter, Bernadette Wilson",6.1,Malcolm Stumpf  Patrick White  Max Paradise  Fairuza Balk  Kim Dickens  Tom Gilroy  Ruth Elliott  Joey Coffman  Tim Greer  Dash Mann  Derek Mitchler  Kylee Mains  Teresa Morales  James Porter  Bernadette Wilson Cam Archer Drama
the women,2008-09-12,"Comedy, Drama",Diane English,"Meg Ryan, Annette Bening, Eva Mendes, Debra Messing, Jada Pinkett Smith, Bette Midler, Candice Bergen, Carrie Fisher, Cloris Leachman, Debi Mazar, India Ennenga, Jill Flint, Ana Gasteyer, Joanna Gleason, Tilly Scott Pedersen",5.0,Meg Ryan  Annette Bening  Eva Mendes  Debra Messing  Jada Pinkett Smith  Bette Midler  Candice Bergen  Carrie Fisher  Cloris Leachman  Debi Mazar  India Ennenga  Jill Flint  Ana Gasteyer  Joanna Gleason  Tilly Scott Pedersen Diane English Comedy  Drama
everyone's hero,2006-09-15,"Animation, Adventure, Comedy","Colin Brady, Christopher Reeve","Ritchie Allen, Jake T. Austin, Cherise Boothe, Jesse Bronstein, Ralph Coppola, Brian Dennehy, Whoopi Goldberg, Jason Harris, Ed Helms, Ray Iannicelli, Gideon Jacobs, Richard Kind, William H. Macy, Marcus Maurice, Amanda Parsons",5.7,Ritchie Allen  Jake T. Austin  Cherise Boothe  Jesse Bronstein  Ralph Coppola  Brian Dennehy  Whoopi Goldberg  Jason Harris  Ed Helms  Ray Iannicelli  Gideon Jacobs  Richard Kind  William H. Macy  Marcus Maurice  Amanda Parsons Colin Brady  Christopher Reeve Animation  Adventure  Comedy
basic instinct 2,2006-03-31,"Drama, Mystery, Thriller",Michael Caton-Jones,"Stan Collymore, Sharon Stone, Neil Maskell, David Thewlis, Jan Chappell, David Morrissey, Terence Harvey, Hugh Dancy, Ellen Thomas, Mark Sangster, Tim Berrington, Indira Varma, Charlotte Rampling, Heathcote Williams, Flora Montgomery",4.3,Stan Collymore  Sharon Stone  Neil Maskell  David Thewlis  Jan Chappell  David Morrissey  Terence Harvey  Hugh Dancy  Ellen Thomas  Mark Sangster  Tim Berrington  Indira Varma  Charlotte Rampling  Heathcote Williams  Flora Montgomery Michael Caton-Jones Drama  Mystery  Thriller
role models,2009-01-09,Comedy,David Wain,"Seann William Scott, Paul Rudd, Christopher Mintz-Plasse, Bobb'e J. Thompson, Elizabeth Banks, Jane Lynch, Ken Jeong, Ken Marino, Kerri Kenney, A.D. Miles, Joe Lo Truglio, Matt Walsh, Nicole Randall Johnson, Alexandra Stamler, Carly Craig",6.8,Seann William Scott  Paul Rudd  Christopher Mintz-Plasse  Bobb'e J. Thompson  Elizabeth Banks  Jane Lynch  Ken Jeong  Ken Marino  Kerri Kenney  A.D. Miles  Joe Lo Truglio  Matt Walsh  Nicole Randall Johnson  Alexandra Stamler  Carly Craig David Wain Comedy
the possession,2012-08-31,"Horror, Mystery, Thriller",Ole Bornedal,"Jeffrey Dean Morgan, Kyra Sedgwick, Natasha Calis, Madison Davenport, Matisyahu, Grant Show, Rob LaBelle, Nana Gbewonyo, Anna Hagan, Brenda Crichlow, Jay Brazeau, Iris Quinn, Graeme Duffy, David Hovan, Chris Shields",5.9,Jeffrey Dean Morgan  Kyra Sedgwick  Natasha Calis  Madison Davenport  Matisyahu  Grant Show  Rob LaBelle  Nana Gbewonyo  Anna Hagan  Brenda Crichlow  Jay Brazeau  Iris Quinn  Graeme Duffy  David Hovan  Chris Shields Ole Bornedal Horror  Mystery  Thriller
the kingdom,2007-10-05,"Action, Drama, Thriller",Peter Berg,"Jamie Foxx, Chris Cooper, Jennifer Garner, Jason Bateman, Ashraf Barhom, Ali Suliman, Jeremy Piven, Richard Jenkins, Tim McGraw, Kyle Chandler, Frances Fisher, Danny Huston, Kelly AuCoin, Anna Deavere Smith, Minka Kelly",7.0,Jamie Foxx  Chris Cooper  Jennifer Garner  Jason Bateman  Ashraf Barhom  Ali Suliman  Jeremy Piven  Richard Jenkins  Tim McGraw  Kyle Chandler  Frances Fisher  Danny Huston  Kelly AuCoin  Anna Deavere Smith  Minka Kelly Peter Berg Action  Drama  Thriller
p.s. i love you,2007-12-21,"Comedy, Drama, Romance",Richard LaGravenese,"Hilary Swank, Gerard Butler, Lisa Kudrow, Gina Gershon, James Marsters, Kathy Bates, Harry Connick Jr., Nellie McKay, Jeffrey Dean Morgan, Dean Winters, Anne Kent, Brian McGrath, Sherie Rene Scott, Susan Blackwell, Michael Countryman",7.0,Hilary Swank  Gerard Butler  Lisa Kudrow  Gina Gershon  James Marsters  Kathy Bates  Harry Connick Jr.  Nellie McKay  Jeffrey Dean Morgan  Dean Winters  Anne Kent  Brian McGrath  Sherie Rene Scott  Susan Blackwell  Michael Countryman Richard LaGravenese Comedy  Drama  Romance
resident evil: extinction,2007-10-12,"Action, Horror, Sci-Fi",Russell Mulcahy,"Milla Jovovich, Oded Fehr, Ali Larter, Iain Glen, Ashanti, Christopher Egan, Spencer Locke, Matthew Marsden, Linden Ashby, Jason O'Mara, Mike Epps, Joe Hursley, John Eric Bentley, James Tumminia, Kirk B.R. Woller",6.3,Milla Jovovich  Oded Fehr  Ali Larter  Iain Glen  Ashanti  Christopher Egan  Spencer Locke  Matthew Marsden  Linden Ashby  Jason O'Mara  Mike Epps  Joe Hursley  John Eric Bentley  James Tumminia  Kirk B.R. Woller Russell Mulcahy Action  Horror  Sci-Fi
fantastic mr. fox,2009-10-23,"Animation, Adventure, Comedy",Wes Anderson,"George Clooney, Meryl Streep, Jason Schwartzman, Bill Murray, Wallace Wolodarsky, Eric Chase Anderson, Michael Gambon, Willem Dafoe, Owen Wilson, Jarvis Cocker, Wes Anderson, Karen Duffy, Robin Hurlstone, Hugo Guinness, Helen McCrory",7.8,George Clooney  Meryl Streep  Jason Schwartzman  Bill Murray  Wallace Wolodarsky  Eric Chase Anderson  Michael Gambon  Willem Dafoe  Owen Wilson  Jarvis Cocker  Wes Anderson  Karen Duffy  Robin Hurlstone  Hugo Guinness  Helen McCrory Wes Anderson Animation  Adventure  Comedy
